Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Vertical Oriana,2,Vertical Oriana,14,836,1089,8600000,7897
Regulus,3,Regulus,9,964,1120,12600000,11250
Kolte Patil 24K Atria,4,Pimple Nilakh,12,2668,3276,50500000,15417
Tanishq Apartment,2,EON Free Zone,7,850,1100,8500000,7727
Narmada park,1,Narmada park,4,516,620,2500000,4032
Kohinoor Begonia,2,Kohinoor Begonia,7,640,820,4500000,5488
Spring Glory Co Operative Society,1,Spring Glory Co Operative Society,6,550,650,4500000,6923
Enerrgia Skyi Manas Lake,2,Enerrgia Skyi Manas Lake,12,700,756,5920000,7831
ARV Uthville,2,ARV Uthville,14,741,920,8800000,9565
Tanish Orchid Phase II,1,Tanish Orchid Phase II,12,400,597,3500000,5863
Radhika Residency,2,Vishrantwadi,7,784,1064,7300000,6861
Shree Apartment,1,Shree Apartment,5,460,620,5300000,8548
VTP Cygnus,1,Manjri,23,350,430,4800000,11163
SKYi Star Town,3,SKYi Star Town,13,724,1040,6000000,5769
Vision Starwest,2,Vision Starwest,12,624,796,6700000,8417
The Reino,1,The Reino,8,484,570,2020000,3543
Acorn Park,1,Acorn Park,12,495,670,3500000,5224
Atria Grande,2,Atria Grande,10,1150,1200,7000000,5833
Sobha Carnation,4,Sobha Carnation,2,2800,3200,23000000,7188
Aaditya Malhar,1,Ravet,12,430,676,4320000,6395
Kumar Sophronia,3,Kumar Sophronia,10,1300,1369,16399999,11976
Kolte Patil 24K Stargaze,5,Kolte Patil 24K Stargaze,14,3400,4600,35000000,7609
Ganga Amber,2,Ganga Amber,13,756,1100,6900000,6273
The Prestige Avenue,2,The Prestige Avenue,11,788,1000,9000000,9000
Hari Ganga,2,Vishrantwadi,11,900,1100,11000000,10000
